OBJECTID,POBLAC_,PROVINCIA,CANTON,PUEBLO,POBLAC_ID,x,y,Latitude,Longitude
1,1,San Jose,San Jose,San Jose,101001,490635.7112,1098935.1757,9.938422794724,-84.085402050564
2,2,San Jose,San Jose,Uruca,101002,488348.3394,1100506.7878,9.952627127449,-84.106267483425
3,3,San Jose,San Jose,Pavas,101003,485223.1621,1099516.709,9.943664673452,-84.134766629580
4,4,San Jose,San Jose,Sabana,101004,487913.9963,1098189.3839,9.931672164126,-84.110221824543
5,5,San Jose,San Jose,Hatillo,101005,488761.3446,1096316.911,9.914743933036,-84.102488891300
6,6,San Jose,San Jose,San Sebastian,101006,490546.1681,1095984.0131,9.911738493335,-84.086211681519
7,7,San Jose,San Jose,Zapote,101007,493656.8693,1096887.7928,9.919916490192,-84.057845806702
8,8,San Jose,San Jose,San Francisco,101008,493713.485,1095923.1433,9.911194312837,-84.057327977170
9,9,San Jose,Escazu,Escazu,102001,484662.3936,1096880.4694,9.919826032674,-84.139870769068
10,10,San Jose,Escazu,Bebedero,102002,482461.2499,1095089.6459,9.903624646562,-84.159936164044
11,11,San Jose,Escazu,Chiverral,102003,484337.5143,1093576.6855,9.889952350408,-84.142820552797
12,12,San Jose,Escazu,San Antonio,102004,485253.7637,1095326.6501,9.905778789877,-84.134472049572
13,13,San Jose,Escazu,Masilla,102005,484200.9969,1095466.6196,9.907040389423,-84.144072869930
14,14,San Jose,Escazu,Torrotillo,102006,485819.9243,1094390.6786,9.897317868895,-84.129305863519
15,15,San Jose,Escazu,Agua,102007,485919.5217,1093919.1163,9.893054401018,-84.128395990003
16,16,San Jose,Escazu,San Rafael,102008,485505.8869,1098305.6616,9.932715570368,-84.132183735088
17,17,San Jose,Escazu,Belo Horizonte,102009,486285.5002,1096980.604,9.920737295360,-84.125069236031
18,18,San Jose,Escazu,Araya,102010,483994.5227,1098365.1915,9.933248098955,-84.145967354558
19,19,San Jose,Desamparados,Desamparados,103001,492556.2752,1094023.1636,9.894012896078,-84.067877322586
20,20,San Jose,Desamparados,San Juan De Dios,103002,490851.2562,1092295.3416,9.878386569867,-84.083421058709
21,21,San Jose,Desamparados,San Rafael Arriba,103003,491689.6708,1091890.0243,9.874723536418,-84.075775263382
22,22,San Jose,Desamparados,San Miguel,103004,493119.5356,1091387.4012,9.870181547008,-84.062736539210
23,23,San Jose,Desamparados,Patarra,103005,496185.6978,1092809.0372,9.883039941385,-84.034780249148
24,24,San Jose,Desamparados,Quebrada Honda,103006,497416.2149,1092071.0474,9.876368074188,-84.023559321822
25,25,San Jose,Desamparados,Higuito,103007,494056.2074,1090040.4103,9.858003637614,-84.054193849691
26,26,San Jose,Desamparados,Guatuso,103008,496123.0162,1090827.8481,9.865126113665,-84.035349883943
27,27,San Jose,Desamparados,Rodillal,103009,494753.5903,1089291.0777,9.851229186432,-84.047834277016
28,28,San Jose,Desamparados,Llano,103010,492743.7695,1088975.6099,9.848373638945,-84.066158454571
29,29,San Jose,Desamparados,Jerico,103011,493288.015,1087110.0852,9.831506612202,-84.061193164957
30,30,San Jose,Desamparados,Joya,103012,491074.8248,1085614.6681,9.817980863741,-84.081367636650
31,31,San Jose,Desamparados,Guadarrama,103013,491417.1483,1084157.8084,9.804808743107,-84.078243678613
32,32,San Jose,Desamparados,Rosario,103014,490682.9058,1082855.8398,9.793034780879,-84.084934269128
33,33,San Jose,Desamparados,Villa Nueva,103015,488386.0875,1080167.8928,9.768724564366,-84.105864358038
34,34,San Jose,Desamparados,Bustamante,103016,491014.4871,1078738.9898,9.755811080113,-84.081902433882
35,35,San Jose,Desamparados,Frailes,103017,493896.2809,1078223.6808,9.751156982745,-84.055634122211
36,36,San Jose,Desamparados,San Cristobal Sur,103018,497086.7732,1078010.801,9.749235652924,-84.026553037965
37,37,San Jose,Desamparados,San Cristobal Norte,103019,499324.0792,1080411.705,9.770945596581,-84.006160808285
38,38,San Jose,Desamparados,Santa Elena,103020,493972.496,1079708.805,9.764585569185,-84.054941642554
39,39,San Jose,Puriscal,Santiago,104001,465746.6951,1088676.9911,9.845535490491,-84.312300946643
40,40,San Jose,San Jose,Cacao,104002,455665.344,1094540.4091,9.898453243550,-84.404280058105
41,41,San Jose,San Jose,Poro,104003,454427.5616,1093427.8363,9.888379943340,-84.415554339211
42,42,San Jose,San Jose,Grifo Bajo,104004,458161.7379,1093757.442,9.891400503738,-84.381508036042
43,43,San Jose,San Jose,Grifo Alto,104005,457348.8091,1092249.5799,9.877758351077,-84.388904699236
